tijd	stand	naam_kort	schaal	teken
2016-08-27 20:00:00	1.431	Warmte	3	1
2016-09-12 20:00:00	1.614	Warmte	3	1
2016-09-18 20:00:00	1.677	Warmte	3	1
2016-09-20 20:00:00	1.700	Warmte	3	1
2016-09-25 20:00:00	1.759	Warmte	3	1
2016-10-02 20:00:00	1.888	Warmte	3	1
2016-10-15 20:00:00	3.390	Warmte	3	1
2016-10-21 20:00:00	3.845	Warmte	3	1
2016-10-23 20:00:00	4.101	Warmte	3	1
2016-10-26 20:00:00	4.668	Warmte	3	1
2016-10-28 20:00:00	4.863	Warmte	3	1
2016-10-30 20:00:00	5.035	Warmte	3	1
2016-10-31 20:00:00	5.103	Warmte	3	1
2016-11-02 20:00:00	5.346	Warmte	3	1
2016-11-05 20:00:00	5.720	Warmte	3	1
2016-11-07 20:00:00	6.242	Warmte	3	1
2016-11-11 20:00:00	7.170	Warmte	3	1
2016-11-12 20:00:00	7.445	Warmte	3	1
2016-11-16 20:00:00	8.304	Warmte	3	1
2016-11-20 20:00:00	9.115	Warmte	3	1
2016-11-23 20:00:00	9.445	Warmte	3	1
2016-11-25 20:00:00	9.802	Warmte	3	1
2016-11-28 20:00:00	10.599	Warmte	3	1
2016-11-30 20:00:00	11.202	Warmte	3	1
2016-12-02 20:00:00	11.695	Warmte	3	1
2016-12-04 20:00:00	12.190	Warmte	3	1
2016-12-05 20:00:00	12.432	Warmte	3	1
2016-12-09 20:00:00	13.152	Warmte	3	1
2016-12-13 20:00:00	13.769	Warmte	3	1
2016-12-16 20:00:00	14.166	Warmte	3	1
2016-12-18 20:00:00	14.521	Warmte	3	1
2016-12-19 20:00:00	14.664	Warmte	3	1
2016-12-20 20:00:00	14.875	Warmte	3	1
2016-12-22 20:00:00	15.166	Warmte	3	1
2016-12-25 20:00:00	15.615	Warmte	3	1
2016-12-28 20:00:00	16.086	Warmte	3	1
2016-12-30 20:00:00	16.483	Warmte	3	1
2017-01-02 20:00:00	17.171	Warmte	3	1
2017-01-04 20:00:00	17.567	Warmte	3	1
2017-01-13 20:00:00	19.278	Warmte	3	1
2017-01-16 20:00:00	19.868	Warmte	3	1
2017-01-18 20:00:00	20.337	Warmte	3	1
2017-01-22 20:00:00	21.061	Warmte	3	1
2017-01-23 20:00:00	21.463	Warmte	3	1
2017-01-28 20:00:00	22.655	Warmte	3	1
2017-01-29 20:00:00	22.828	Warmte	3	1
2017-01-30 20:00:00	23.011	Warmte	3	1
2017-02-02 20:00:00	23.497	Warmte	3	1
